Date,IAA,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-08-31,1.0,-0.19453467829258564,-0.538867042799339,-0.36729925343363534,-0.5411181398529664,-0.207670826921981,0.0
2020-09-01,1.0,-0.1942015777632216,-0.5358983852134537,-0.3718565773360294,-0.5410246917096232,-0.20499530088571186,0.0
2020-09-02,1.0,-0.1875017728987604,-0.5397554818029672,-0.3683658128386237,-0.5353870592573682,-0.20562788982497943,0.0
2020-09-03,1.0,-0.1925258024271294,-0.5405183168878304,-0.36801066122263804,-0.5334864466371783,-0.20089032550754224,0.0
2020-09-04,1.0,-0.16272014831044074,-0.5438611274964186,-0.3499901688154827,-0.5346759922474088,-0.21766242521277493,0.0
2020-09-08,1.0,-0.1608908110536958,-0.542771287351157,-0.34815210065153895,-0.5327454504605706,-0.22376993933947428,0.0
2020-09-09,1.0,-0.1497525098576582,-0.5453452277748259,-0.335523924047093,-0.532005928577421,-0.2338711932660309,0.0
2020-09-10,1.0,-0.14638438119710637,-0.5460436276289696,-0.3310057816384102,-0.53179901125604,-0.2378292321872469,0.0
2020-09-11,1.0,-0.14436413361984762,-0.5477632350068373,-0.3309240085954288,-0.5300979543995759,-0.23757430301677226,0.0
2020-09-14,1.0,-0.14540894524174444,-0.5443221401699875,-0.33013794064372304,-0.5271561933955692,-0.23965445172077468,0.0
2020-09-15,1.0,-0.14784571651524442,-0.5370102001003288,-0.3224179254222173,-0.5340560726826822,-0.2455827434368207,0.0
2020-09-16,1.0,-0.1499944208881946,-0.5283697835304619,-0.3201015398348583,-0.5361805400580227,-0.2549096183887525,0.0
2020-09-17,1.0,-0.14963676343696944,-0.5252595540958054,-0.31920282795668997,-0.5326634564533639,-0.25665933698889415,0.0
2020-09-18,1.0,-0.15227082752855947,-0.5238785176929507,-0.3216773474505433,-0.5342435218723879,-0.25422123154081916,0.0
2020-09-21,1.0,-0.15051397052678497,-0.5255313814524891,-0.3240939354263587,-0.531938602111597,-0.25364236565729725,0.0
2020-09-22,1.0,-0.15811787019217358,-0.5150754469639919,-0.332747608289404,-0.5308621314813265,-0.25236381892728643,0.0
2020-09-23,1.0,-0.1595480541219138,-0.512791184265588,-0.3331287487794672,-0.5312037941135445,-0.25311758962198355,0.0
2020-09-24,1.0,-0.15311457174638488,-0.5054226918798665,-0.32675194660734147,-0.5319521690767519,-0.26362625139043383,0.0
2020-09-25,1.0,-0.14260883959609336,-0.512884180323346,-0.3152623737791756,-0.5150085526678806,-0.27316117640567233,0.0
2020-09-28,1.0,-0.1411521499448732,-0.5114388092613009,-0.31248621830209483,-0.5148015435501654,-0.2764884233737596,0.0
2020-09-29,1.0,-0.14186136213356842,-0.5092021159356404,-0.31168723826316946,-0.5150705311880097,-0.2772757328631254,0.0
2020-09-30,1.0,-0.14069371152154794,-0.5049197449428321,-0.3150010993843448,-0.5083553210202287,-0.27951846965699206,0.0
2020-10-01,1.0,-0.14067824557546443,-0.506128393976036,-0.3144168407167198,-0.5079696603275805,-0.27899307463999123,0.0
2020-10-02,1.0,-0.1391247012280557,-0.5027610648644194,-0.3133053105854557,-0.5098216983983077,-0.28231544822659965,0.0
2020-10-05,1.0,-0.1350380968042537,-0.504056350380968,-0.30987227977854515,-0.507674176396426,-0.28410897330482926,0.0
