Date,AA,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-12-19,1.0,-0.0,-0.9643689187337263,-0.0,-0.6665753049198302,-0.0,-0.0,-0.8132794299026999,-0.7681924078388379,-0.0,-0.48218445936686316,-0.0,-0.0,-0.0,-0.0,-0.044675894203097165,-2.11285459777991,-0.0,-0.0
2019-12-20,1.0,-0.0,-0.9646017699115044,-0.0,-0.6181756296800545,-0.0,-0.0,-0.8471749489448605,-0.7954390742001362,-0.0,-0.4620149761742682,-0.0,-0.0,-0.0,-0.0,-0.06746085772634446,-2.0525527569775357,-0.0,-0.0
2019-12-23,1.0,-0.0,-1.0513689346706425,-0.0,-0.6177825969097317,-0.0,-0.0,-0.7640959609650312,-0.8039441583084846,-0.0,-0.45093521279479537,-0.0,-0.0,-0.0,-0.0,-0.02737869341284901,-2.047167253998374,-0.0,-0.014231499051233396
2019-12-24,1.0,-0.0,-1.0381225797836826,-0.0,-0.6950861263186006,-0.0,-0.024302310054746964,-0.6926158365602885,-0.7561757243957805,-0.0,-0.4614768326879423,-0.0,-0.0,-0.0,-0.0,-0.08939778341567634,-1.8790893310188275,-0.018427026305247698,-0.021698491120309787
2019-12-26,1.0,-0.0,-1.0019290893367925,-0.0,-0.7107696401250583,-0.0,-0.0,-0.6896826980642586,-0.7707709705314975,-0.0,-0.45519856316104573,-0.0,-0.0,-0.0,-0.0,-0.11295150668529236,-1.8384886582851063,-0.06625424067052485,-0.006053349298210603
2019-12-27,1.0,-0.0,-0.9933739729658096,-0.0,-0.7210442618605885,-0.0,-0.008216273522395972,-0.6908958388550226,-0.7405910416114497,-0.0,-0.4656771799628942,-0.0,-0.0,-0.0,-0.0,-0.10985952822687517,-1.827325735489001,-0.06910946196660482,-0.0
2019-12-30,1.0,-0.0,-0.9716510281493312,-0.0,-0.7548412856857657,-0.0,-0.016570173687362747,-0.686364543821122,-0.7420642842882812,-0.0,-0.4652292540094497,-0.0,-0.0,-0.0,-0.0,-0.11040127770013976,-1.838224529180808,-0.06920875756970786,-0.0
2019-12-31,1.0,-0.0,-0.978712116188076,-0.0,-0.7707407653027389,-0.0,-0.0,-0.6788911731547185,-0.7479275814046025,-0.0,-0.4538762517408316,-0.0,-0.0,-0.0,-0.0,-0.1021951057762451,-1.838782412626832,-0.060680416473240927,-0.0
2020-01-02,1.0,-0.0,-0.9785813446155881,-0.0,-0.7858134461558803,-0.0,-0.008461691016063993,-0.6786540622727574,-0.7325312355391024,-0.0,-0.44813908904607663,-0.0,-0.0,-0.0,-0.0,-0.08157598995174192,-1.8330799233159252,-0.06392543134792093,-0.0
2020-01-03,1.0,-0.0,-0.9509465877301411,-0.0,-0.754017305315204,-0.0,-0.08873853360223796,-0.7190813870275193,-0.6426387352807235,-0.0,-0.4563138377464055,-0.0,-0.0,-0.0,-0.0,-0.04144167588315659,-1.7275388719016327,-0.042938000130115145,-0.08216771843081126
