Date,IWF,IWM,MTUM,SPY,TLND,VLUE,VXX
2019-11-13,-0.0,-0.4607147304196239,-2.1322375793799027,-1.987361474287137,1.0,-0.6455609513136595,0.0
2019-11-14,-0.0,-0.46211412535079516,-2.1198628001247273,-1.9837231057062676,1.0,-0.6706579357655129,0.0
2019-11-15,-0.0,-0.45591194968553456,-2.14874213836478,-2.0034591194968554,1.0,-0.6811949685534592,0.0
2019-11-18,-0.0,-0.44869432619607347,-2.162589745218883,-2.0314505368829026,1.0,-0.7109092064298875,0.0
2019-11-19,-0.0,-0.5894661829489505,-2.1368230111427833,-2.020277273905157,1.0,-0.7318605856439492,0.0
2019-11-20,-0.0,-0.6064428488259266,-2.133061646937059,-2.0161071220648163,1.0,-0.7131121029820816,0.0
2019-11-21,-0.0,-0.5391945114979037,-2.187015626985135,-1.889975860754669,1.0,-0.7361834582645154,0.0
2019-11-22,-0.0,-0.5298194303153612,-2.1773270600203456,-1.9009409969481181,1.0,-0.75,0.0
2019-11-25,-0.0,-0.5281216615345944,-2.1643938917865895,-1.8786526739144096,1.0,-0.7130019480927544,0.0
2019-11-26,-0.0,-0.4949122916536613,-2.162494537736438,-1.8645358636619016,1.0,-0.7207066608402521,0.0
2019-11-27,-0.0,-0.4599080059671805,-2.153592739930383,-1.8713948284435604,1.0,-0.730979612133267,0.0
2019-11-29,-0.009161646586345381,-0.45745481927710846,-2.211031626506024,-1.9033007028112452,1.0,-0.6941516064257027,0.0
2019-12-02,-0.027284345047923327,-0.4701597444089457,-2.276485623003195,-1.9156549520766775,1.0,-0.7001916932907348,0.0
2019-12-03,-0.0,-0.4647323979429877,-2.2575709478763253,-1.9238143609929528,1.0,-0.7027490318075043,0.0
2019-12-04,-0.0,-0.5076736155518609,-2.279831180457859,-1.9211536002046297,1.0,-0.6860212303363602,0.0
2019-12-05,-0.006360745115856428,-0.49380151879016027,-2.332316479522295,-1.9176348413058997,1.0,-0.7405075614980203,0.0
2019-12-06,-0.0802424402134528,-0.5493774293431715,-2.338559852427696,-1.9277290994136633,1.0,-0.6921404572106199,0.0
2019-12-09,-0.04232490784623486,-0.44924960505529227,-2.3909294365455502,-1.972288046340179,1.0,-0.7276856240126383,0.0
2019-12-10,-0.10071623717049398,-0.4427379458022595,-2.8247064904378645,-2.2771173299859706,1.0,-0.7386841910950307,0.0
2019-12-11,-0.11393527412442737,-0.4259642382148663,-2.831313728387764,-2.270577804049062,1.0,-0.747007536574553,0.0
2019-12-12,-0.11607936037903464,-0.429005034053894,-2.8353568255848387,-2.27509623926562,1.0,-0.7474829730530056,0.0
2019-12-13,-0.11838978015448602,-0.4314468211527035,-2.875816993464052,-2.273915626856803,1.0,-0.7276440879382056,0.0
2019-12-16,-0.13090368166604688,-0.42127184827073266,-2.9133506879880997,-2.282930457419115,1.0,-0.689326887318706,0.0
2019-12-17,-0.29609618750475614,-0.3450270146868579,-2.991172665702762,-2.3176318392816375,1.0,-0.6598432387185146,0.0
2019-12-18,-0.4493995196156926,-0.37718174539631705,-3.096477181745396,-2.367093674939952,1.0,-0.7163330664531625,0.0
2019-12-19,-0.45219846712384026,-0.4046793061718435,-3.119564340459863,-2.36345300524405,1.0,-0.7278741427995159,0.0
2019-12-20,-0.4585346215780998,-0.44967793880837353,-3.123107890499195,-2.3376811594202898,1.0,-0.6826086956521739,0.0
2019-12-23,-0.44060339409176613,-0.4732086737900691,-3.0468258956631047,-2.254399748585795,1.0,-0.6416561910747958,0.0
2019-12-24,-0.45597980435468594,-0.4793310192489744,-3.0362101609340484,-2.274928999684443,1.0,-0.6425528557904701,0.0
2019-12-26,-0.4487735625837999,-0.4733811814811893,-3.0365170754791384,-2.273286536793122,1.0,-0.6550989825696032,0.0
2019-12-27,-0.4490956480530764,-0.492931048100466,-3.051812653028987,-2.2597741094700257,1.0,-0.6446568201563857,0.0
2019-12-30,-0.47035415837644245,-0.49741345005968957,-3.0805411858336647,-2.276721050537206,1.0,-0.6335057699960207,0.0
2019-12-31,-0.4602596580113996,-0.4887587080430653,-3.079005699810007,-2.2620329322355923,1.0,-0.6264249525015834,0.0
2020-01-02,-0.4665924276169265,-0.4992841234489342,-3.0930639516385616,-2.2702831689468663,1.0,-0.6249602290804963,0.0
2020-01-03,-0.481484450144277,-0.4733889067008657,-3.1002725232446298,-2.30306187880731,1.0,-0.6572619429304265,0.0
2020-01-06,-0.5083258874177564,-0.5037771099017139,-3.14458614247421,-2.306067744293721,1.0,-0.6600601088457477,0.0
2020-01-07,-0.5032074705643524,-0.5003654080389769,-3.148355663824604,-2.3066991473812424,1.0,-0.6614697523345514,0.0
2020-01-08,-0.5047464503042597,-0.4986612576064909,-3.142474645030426,-2.2992292089249493,1.0,-0.6685598377281947,0.0
2020-01-09,-0.5272683006005519,-0.5159065086836553,-3.121408862197695,-2.2846940431748095,1.0,-0.666369095925986,0.0
2020-01-10,-0.542052247973139,-0.5318155761198919,-3.1388092703300305,-2.289738760134305,1.0,-0.6869216280402916,0.0
2020-01-13,-0.5438309028346714,-0.5312960838931673,-3.14664918892348,-2.2873996395215466,1.0,-0.6834343765361297,0.0
2020-01-14,-0.6352330752759019,-0.49958820622632183,-3.18613078570252,-2.2883380003294347,1.0,-0.6265854060286608,0.0
