Date,FIVN,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-09-13,1.0,-0.2512558306422677,-0.5618048080373161,-1.2808127018299247,-1.3912360961607464,-0.0,0.0
2019-09-16,1.0,-0.25200879831216055,-0.558782600888809,-1.2880998339094132,-1.3900884320150828,-0.0,0.0
2019-09-17,1.0,-0.2581121604081815,-0.5217294007071566,-1.2943651255426756,-1.4015127780512913,-0.0,0.0
2019-09-18,1.0,-0.26156878555749674,-0.5054428168256955,-1.3032298526183757,-1.409398378354164,-0.0,0.0
2019-09-19,1.0,-0.2628415055403526,-0.4945493697007761,-1.3066259925530483,-1.4220986048180881,-0.0,0.0
2019-09-20,1.0,-0.2762165559346382,-0.49991021727419643,-1.3088974681271321,-1.4041120488418029,-0.0,0.0
2019-09-23,1.0,-0.26312954484244544,-0.5110871712002872,-1.3275877547356136,-1.3869288086901874,-0.0,0.0
2019-09-24,1.0,-0.26385022896650806,-0.5119421747328724,-1.3200592619197271,-1.393687707641196,-0.0,0.0
2019-09-25,1.0,-0.26269018446209774,-0.5098963242224317,-1.322382298819622,-1.3931600915578295,-0.0,0.0
2019-09-26,1.0,-0.25445002282062984,-0.4641716111364674,-1.450114103149247,-1.3953902327704246,-0.0,0.0
2019-09-27,1.0,-0.21859331155986936,-0.46069276415658494,-1.4607847647085883,-1.4599567597405585,-0.0,0.0
2019-09-30,1.0,-0.241697843055748,-0.4282943051129278,-1.4921712622973535,-1.4565608978800053,-0.0,0.0
2019-10-01,1.0,-0.24055252702577842,-0.40968308232467887,-1.5126120299362467,-1.4569435461517137,-0.0,0.0
2019-10-02,1.0,-0.2486639713741345,-0.42543798503647945,-1.5577861424787398,-1.4151679910776525,-0.0,0.0
2019-10-03,1.0,-0.23271953363560655,-0.46432867585824006,-1.5540853150735634,-1.3755436291292682,-0.0,0.0
2019-10-04,1.0,-0.2485251080039021,-0.4728015979932178,-1.5681702048590143,-1.355832210712129,-0.0,0.0
2019-10-07,1.0,-0.2570583614435562,-0.46227068989418235,-1.5350954207291716,-1.3664802920382606,-0.0,0.0
2019-10-08,1.0,-0.24983815777305096,-0.47008230833256265,-1.5097105336169425,-1.3944326273929528,-0.0,0.0
2019-10-09,1.0,-0.23726535341830823,-0.4723522595596756,-1.5234762456546929,-1.4019003476245655,-0.0,0.0
2019-10-10,1.0,-0.261730723885876,-0.5057769394010847,-1.5744871492572508,-1.3738740863004009,-0.0,0.0
2019-10-11,1.0,-0.2723608081191312,-0.5209617755856967,-1.6452622593189794,-1.30389832116096,-0.0,0.0
2019-10-14,1.0,-0.31340519492853414,-0.4624626050619688,-1.6730613989268246,-1.2996343606059166,-0.0,0.0
2019-10-15,1.0,-0.3484783744006077,-0.44912880406399847,-1.6861320799506243,-1.2639225181598064,-0.0,0.0
2019-10-16,1.0,-0.3284598533193638,-0.4687113058386513,-1.7055433850842938,-1.2595961520144776,-0.0,0.0
2019-10-17,1.0,-0.3269084332762231,-0.47225395012373883,-1.7011231677136873,-1.2588520845231297,-0.0,0.0
2019-10-18,1.0,-0.2907801418439716,-0.5332476557665763,-1.7480603550859157,-1.1877766671426533,-0.0,0.0
2019-10-21,1.0,-0.317947247706422,-0.5107989296636085,-1.7502389143730888,-1.199302370030581,-0.0,0.0
2019-10-22,1.0,-0.283316692816051,-0.4865687253363762,-1.7681262777540057,-1.216374269005848,-0.0,0.0
2019-10-23,1.0,-0.2864756828780813,-0.4823926905872276,-1.7738174550299801,-1.2160464452269915,-0.0,0.0
2019-10-24,1.0,-0.256947034688549,-0.4851734427452443,-1.7264080566952629,-1.1939574785527787,-0.0,0.0
2019-10-25,1.0,-0.2629909506483814,-0.4819945890474858,-1.732251142830488,-1.1874242000186586,-0.0,0.0
2019-10-28,1.0,-0.2637973737090518,-0.4924996495163325,-1.7380251413617456,-1.1787934015608204,-0.0,0.0
2019-10-29,1.0,-0.30127783519684304,-0.48548341632998215,-1.784835102884525,-1.1262801841586019,-0.0,0.0
2019-10-30,1.0,-0.30759475834859806,-0.4823634399511531,-1.7814099854398573,-1.1254520689493213,-0.0,0.0
2019-10-31,1.0,-0.3131940523244871,-0.47609636740071526,-1.7940899680030116,-1.12205910031997,-0.0,0.0
2019-11-01,1.0,-0.30348117708185723,-0.4857588210287658,-1.811534646450333,-1.1226678002928534,-0.0,0.0
2019-11-04,1.0,-0.3045898391433558,-0.47539978300863245,-1.8275390348601348,-1.109674984669088,-0.0,0.0
2019-11-05,1.0,-0.29457437297068373,-0.4722130723260082,-1.8294668486188885,-1.1094066161592395,-0.0,0.0
2019-11-06,1.0,-0.29773981975180486,-0.4793092058698627,-1.8205067711036662,-1.1209833435568348,-0.0,0.0
2019-11-07,1.0,-0.27976219246942824,-0.4470491565566243,-1.8975784233167383,-1.2090966213930108,-0.0,0.0
2019-11-08,1.0,-0.2832512315270936,-0.4283299526707235,-1.900463633729354,-1.2174731961750216,-0.0,0.0
2019-11-11,1.0,-0.28667799077893713,-0.42431448677505457,-1.9161368599854403,-1.226061635525358,-0.0,0.0
2019-11-12,1.0,-0.2868171886380189,-0.42675406652100023,-1.9212915756251516,-1.2206846321922797,-0.0,0.0
2019-11-13,1.0,-0.32258223118147406,-0.4261271448940459,-2.021387482177098,-1.1466148778209353,-0.0,0.0
2019-11-14,1.0,-0.32074821560423333,-0.4225449175486094,-2.033620477479695,-1.1455574698498647,-0.0,0.0
2019-11-15,1.0,-0.3224000785623097,-0.4239909653343808,-2.0209663164097025,-1.1427378964941568,-0.0,0.0
2019-11-18,1.0,-0.3538007380073801,-0.40373923739237394,-2.009003690036901,-1.1535055350553507,-0.0,0.0
2019-11-19,1.0,-0.35768998185849626,-0.47243499294497077,-2.0250957468252366,-1.1840858697843177,-0.0,0.0
2019-11-20,1.0,-0.35611946322268184,-0.4676621935223489,-2.0001008979921298,-1.2210675007567349,-0.0,0.0
2019-11-21,1.0,-0.41869877049180326,-0.44969262295081963,-2.051280737704918,-1.2032274590163934,-0.0,0.0
2019-11-22,1.0,-0.41931352459016397,-0.4462602459016394,-2.0384221311475406,-1.2189549180327868,-0.0,0.0
2019-11-25,1.0,-0.4194142944910916,-0.44665164857669465,-2.0357362277288553,-1.218001228752816,-0.0,0.0
2019-11-26,1.0,-0.41266442337106146,-0.44366268991536656,-2.0282451310288567,-1.2138268583664729,-0.0,0.0
2019-11-27,1.0,-0.41470888661899896,-0.45342185903983656,-2.010827374872319,-1.2282431052093974,-0.0,0.0
2019-11-29,1.0,-0.4320198060656076,-0.44563647617082736,-2.0379616257478856,-1.2422632556220343,-0.0,0.0
2019-12-02,1.0,-0.44502453795551844,-0.45792001670669313,-2.0880755977863634,-1.2298214472172915,-0.0,0.0
2019-12-03,1.0,-0.40266542211159506,-0.45965567309686783,-2.0798070939639075,-1.243517942335615,-0.0,0.0
2019-12-04,1.0,-0.42749675745784693,-0.48939040207522694,-2.062775616083009,-1.2084046692607002,-0.0,0.0
2019-12-05,1.0,-0.43840693183004487,-0.49128301492848936,-2.076782545150851,-1.2132268504019208,-0.0,0.0
2019-12-06,1.0,-0.4893245957086989,-0.516911531550576,-2.0747806785752037,-1.2038896522566325,-0.0,0.0
2019-12-09,1.0,-0.45755349385960203,-0.46355982195527434,-2.1528932267925134,-1.2887863999570977,-0.0,0.0
2019-12-10,1.0,-0.49465861588481186,-0.43689038550859266,-2.4360775661867162,-1.4381676730143986,-0.0,0.0
2019-12-11,1.0,-0.503052503052503,-0.4289202860631432,-2.4427582999011572,-1.4396185824757253,-0.0,0.0
