Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WWW
2019-04-29,-0.0,-0.9549084236637331,-0.0,-0.8427061741819294,-0.6003941690169561,0.0,1.0
2019-04-30,-0.0,-0.959090599686883,-0.0,-0.8412293240759648,-0.6031243618541964,0.0,1.0
2019-05-01,-0.0,-0.9440991679402276,-0.0,-0.8610969604347088,-0.5910001698081169,0.0,1.0
2019-05-02,-0.0,-0.9389553604718164,-0.0,-0.8596074975426228,-0.590956851845575,0.0,1.0
2019-05-03,-0.0,-0.9541930460100889,-0.0,-0.8461929105867216,-0.5851982259538883,0.0,1.0
2019-05-06,-0.0,-0.9334279535009462,-0.0,-0.8547918356312517,-0.5910719113273858,0.0,1.0
2019-05-07,-0.0,-0.928846934632562,-0.0,-0.8605359317904995,-0.5940587359588578,0.0,1.0
2019-05-08,-0.0,-0.9266349302812383,-0.0,-0.85158175495459,-0.5979945305378305,0.0,1.0
2019-05-09,-0.0,-0.9275146929676418,-0.0,-0.8521583462811593,-0.5979868945484024,0.0,1.0
2019-05-10,-0.0,-0.9203590871399214,-0.0,-0.9663986732523344,-0.7185708620254533,0.0,1.0
2019-05-13,-0.0,-0.9210364863401782,-0.0,-0.9623948897470137,-0.7254682594102999,0.0,1.0
2019-05-14,-0.0,-0.8988860632544147,-0.0,-0.9596332246856979,-0.7232708907912174,0.0,1.0
2019-05-15,-0.0,-0.899092116123013,-0.0,-0.9808375497900744,-0.7085441561703808,0.0,1.0
2019-05-16,-0.0,-0.9036196495259982,-0.0,-0.9768026429187014,-0.7104998563631141,0.0,1.0
2019-05-17,-0.0,-0.901433241136535,-0.0,-0.9723050396925175,-0.7183806889615287,0.0,1.0
2019-05-20,-0.0,-0.890937130150988,-0.0,-0.9762220707958253,-0.7192554603163217,0.0,1.0
2019-05-21,-0.0,-0.8841943331425302,-0.0,-0.9767458500286205,-0.7166213508872352,0.0,1.0
2019-05-22,-0.0,-0.883658396672881,-0.0,-0.9789186863616808,-0.7226803384483006,0.0,1.0
2019-05-23,-0.0,-0.8830736163353036,-0.0,-0.9916890560630486,-0.7075407487014149,0.0,1.0
2019-05-24,-0.0,-0.8829470969590602,-0.0,-0.9935169597764963,-0.7053261219957735,0.0,1.0
2019-05-28,-0.0,-0.8818979409131602,-0.0,-0.9941629364368845,-0.7049597135183527,0.0,1.0
2019-05-29,-0.0,-0.8828655096064567,-0.0,-0.9925362474108993,-0.6957717305906721,0.0,1.0
2019-05-30,-0.0,-0.8827246438899004,-0.0,-0.9915033379743671,-0.6957623790653671,0.0,1.0
2019-05-31,-0.0,-0.8851920605454806,-0.0,-0.9921462230472655,-0.6925603312865916,0.0,1.0
2019-06-03,-0.0,-0.892750639023005,-0.0,-0.9990414654927577,-0.658335700085203,0.0,1.0
2019-06-04,-0.0,-0.8878946060154113,-0.0,-0.9976918433294271,-0.6653883029721955,0.0,1.0
2019-06-05,-0.0,-0.8805508712759976,-0.0,-1.0285975267003935,-0.6040964024732995,0.0,1.0
2019-06-06,-0.0,-0.8930464389764471,-0.0,-1.0045631647302469,-0.6125171118677384,0.0,1.0
2019-06-07,-0.0,-0.8978473856094392,-0.0,-1.0001053481757207,-0.6136531235734101,0.0,1.0
2019-06-10,-0.0,-0.8937318243929785,-0.0,-0.9944290669563085,-0.6155355453558039,0.0,1.0
2019-06-11,-0.0,-0.8965589961688517,-0.0,-1.0076622965800852,-0.6105585040947594,0.0,1.0
2019-06-12,-0.0,-0.8904989123570275,-0.0,-1.0059995789769138,-0.6120623114167427,0.0,1.0
2019-06-13,-0.0,-0.8905935879801079,-0.0,-1.0081825556378514,-0.6281874933869431,0.0,1.0
2019-06-14,-0.0,-0.8859822309970385,-0.0,-1.0170638837963617,-0.6225144549428854,0.0,1.0
2019-06-17,-0.0,-0.8789191855139857,-0.0,-1.0307193687028817,-0.6132248291411259,0.0,1.0
2019-06-18,-0.0,-0.8637377420611039,-0.0,-1.043261231281198,-0.6331999858392041,0.0,1.0
2019-06-19,-0.0,-0.8596714361420242,-0.0,-1.0467761879526585,-0.6264970853206147,0.0,1.0
2019-06-20,-0.0,-0.8626866730516832,-0.0,-1.050441630307545,-0.6341030825440743,0.0,1.0
2019-06-21,-0.0,-0.8714235127478754,-0.0,-1.0361189801699717,-0.6335339943342777,0.0,1.0
2019-06-24,-0.0,-0.8542087900393742,-0.0,-1.0330247242027597,-0.6600333439750276,0.0,1.0
2019-06-25,-0.0,-0.8405863978418286,-0.0,-1.0453996876331109,-0.6636376544086325,0.0,1.0
2019-06-26,-0.0,-0.8386260301221938,-0.0,-1.0244032395566922,-0.6891162262006252,0.0,1.0
2019-06-27,-0.0,-0.8252655592785343,-0.0,-1.0258786625793113,-0.7133742068867185,0.0,1.0
2019-06-28,-0.0,-0.8009551302612352,-0.0,-1.047970348194875,-0.7150290459389145,0.0,1.0
2019-07-01,-0.0,-0.8000498007968128,-0.0,-1.052610984632897,-0.7045389869095049,0.0,1.0
