Date,EL,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-10-18,1.0,-0.0,-0.0,-0.5484788171737276,-1.1884813445802926,-0.42229804441917046,0.0
2019-10-21,1.0,-0.0,-0.0,-0.5515693649840376,-1.1742579890634384,-0.43502860574643615,0.0
2019-10-22,1.0,-0.0,-0.0,-0.5537490134175217,-1.1669139700078928,-0.43643251775848463,0.0
2019-10-23,1.0,-0.0,-0.0,-0.5457243905519767,-1.1711506883920677,-0.4408866995073891,0.0
2019-10-24,1.0,-0.0,-0.0,-0.6021348243217485,-1.1503272126564583,-0.4243598703856662,0.0
2019-10-25,1.0,-0.0,-0.0,-0.6030561026748841,-1.149755384713133,-0.42401041997585615,0.0
2019-10-28,1.0,-0.0,-0.0,-0.6128221444479796,-1.1480750874960228,-0.4207763283487114,0.0
2019-10-29,1.0,-0.0,-0.0,-0.6744849242205774,-1.1137492390015702,-0.415937710275882,0.0
2019-10-30,1.0,-0.0,-0.0,-0.6789865776122279,-1.1127095241153426,-0.4194014514160941,0.0
2019-10-31,1.0,-0.0,-0.0,-0.6928787197120637,-1.0900764830644643,-0.43061893437881615,0.0
2019-11-01,1.0,-0.0,-0.0,-0.7165451304488738,-1.0849781234807974,-0.4394425538810565,0.0
2019-11-04,1.0,-0.0,-0.0,-0.7219794802084344,-1.0919506748227983,-0.42263002880538564,0.0
2019-11-05,1.0,-0.0,-0.0,-0.8489083827043306,-1.0491964256489148,-0.3751104710156787,0.0
2019-11-06,1.0,-0.0,-0.0,-0.8410342666798589,-1.0430394775897893,-0.4139705154843178,0.0
2019-11-07,1.0,-0.0,-0.0,-0.8485828356485301,-1.0350744052529117,-0.41587752004487416,0.0
2019-11-08,1.0,-0.0,-0.0,-0.8518494055482166,-1.0351387054161163,-0.4154887714663144,0.0
2019-11-11,1.0,-0.0,-0.0,-0.8788733328909826,-1.0204034237940416,-0.4183531285249817,0.0
2019-11-12,1.0,-0.0,-0.0,-0.8786060083559917,-1.0212547251143973,-0.41600901916572713,0.0
2019-11-13,1.0,-0.0,-0.0,-0.9726265769835694,-0.9664023023123516,-0.40735535254157884,0.0
2019-11-14,1.0,-0.0,-0.0,-0.9722482278988899,-0.9549284472381971,-0.41641032499665637,0.0
2019-11-15,1.0,-0.0,-0.0,-0.9773352108898276,-0.9590625628646148,-0.4163816804130624,0.0
2019-11-18,1.0,-0.0,-0.0,-0.9613894543305536,-0.9219581062446648,-0.39989493729069536,0.0
2019-11-19,1.0,-0.0,-0.0,-0.9701234895764175,-0.9406785287478423,-0.4088102509626875,0.0
2019-11-20,1.0,-0.0,-0.0,-0.990919033573062,-0.9321910317170982,-0.3911112584098366,0.0
2019-11-21,1.0,-0.0,-0.0,-1.027339818852734,-0.9183830929218384,-0.408889634350889,0.0
2019-11-22,1.0,-0.0,-0.0,-1.0313506981740064,-0.9178638560687433,-0.40739124597207305,0.0
2019-11-25,1.0,-0.0,-0.0,-1.0299308771223408,-0.9171532111938796,-0.4083954097040467,0.0
2019-11-26,1.0,-0.0,-0.0,-1.0323186267936169,-0.9106544186670242,-0.40958160118009923,0.0
2019-11-27,1.0,-0.0,-0.0,-1.0255989277936002,-0.9080583012229854,-0.41695426369576144,0.0
2019-11-29,1.0,-0.0,-0.0,-1.035243475921442,-0.9142453591606133,-0.4134382566585956,0.0
2019-12-02,1.0,-0.0,-0.0,-1.053917752580809,-0.915417160264004,-0.4153325435775935,0.0
2019-12-03,1.0,-0.0,-0.0,-1.0413119848669097,-0.9183556276178894,-0.4182880691798405,0.0
2019-12-04,1.0,-0.0,-0.0,-1.0442997184627385,-0.9247990230996234,-0.42291645466571687,0.0
2019-12-05,1.0,-0.0,-0.0,-1.0585782638414216,-0.9194463431305535,-0.43961038961038956,0.0
2019-12-06,1.0,-0.0,-0.0,-1.070563128183946,-0.9560099132589839,-0.4155307724080958,0.0
2019-12-09,1.0,-0.0,-0.0,-1.1000489750227385,-0.9756873994262926,-0.4224795354369272,0.0
2019-12-10,1.0,-0.0,-0.0,-1.2637407711238722,-1.0843463345514208,-0.38075173391006045,0.0
2019-12-11,1.0,-0.0,-0.0,-1.2689248235425925,-1.0831683907831349,-0.38241774657355193,0.0
2019-12-12,1.0,-0.0,-0.0,-1.2685140232288905,-1.0836912275460282,-0.3823804010904881,0.0
2019-12-13,1.0,-0.0,-0.0,-1.2863236669784848,-1.0798503274087934,-0.3756407857811038,0.0
2019-12-16,1.0,-0.0,-0.0,-1.307088380439659,-1.082585613877673,-0.34888589801106623,0.0
2019-12-17,1.0,-0.0,-0.0,-1.3419706784861918,-1.1058832443080655,-0.34045535477516387,0.0
2019-12-18,1.0,-0.0,-0.0,-1.4049719640826572,-1.1466886248676627,-0.36940752068384114,0.0
2019-12-19,1.0,-0.0,-0.0,-1.4122572529286894,-1.1407343344602563,-0.37809576224545954,0.0
2019-12-20,1.0,-0.0,-0.0,-1.4217807733238736,-1.145244570572701,-0.37444326199203815,0.0
2019-12-23,1.0,-0.0,-0.0,-1.3983563343153975,-1.1045510931927431,-0.37370134904636376,0.0
2019-12-24,1.0,-0.0,-0.0,-1.3837101628212052,-1.1045219538544642,-0.3700902847441932,0.0
2019-12-26,1.0,-0.0,-0.0,-1.3829442407871888,-1.1068107273779664,-0.3690140845070423,0.0
2019-12-27,1.0,-0.0,-0.0,-1.3911917098445594,-1.1050189467171911,-0.3704276544737452,0.0
2019-12-30,1.0,-0.0,-0.0,-1.416592328278323,-1.1213978202691697,-0.3405344606911531,0.0
2019-12-31,1.0,-0.0,-0.0,-1.415659383232605,-1.1198667286533395,-0.3386409421974275,0.0
2020-01-02,1.0,-0.0,-0.0,-1.4183538903110697,-1.1213249553952371,-0.33895741214801023,0.0
2020-01-03,1.0,-0.0,-0.0,-1.4329491472626743,-1.1099602834670197,-0.3508683124367261,0.0
