Date,IWF,IWM,MTUM,RF,SPY,VLUE,VXX
2019-09-06,-0.0,-0.5391599514295176,-0.0,1.0,-0.30273760900761676,-0.9178165360415056,0.0
2019-09-09,-0.0,-0.5381579310535176,-0.0,1.0,-0.3028069884905192,-0.9191024260991968,0.0
2019-09-10,-0.0,-0.5443823024530705,-0.0,1.0,-0.2714712885541835,-0.9528489949609613,0.0
2019-09-11,-0.0,-0.5519873431775286,-0.0,1.0,-0.2457810591761963,-0.9778228044854003,0.0
2019-09-12,-0.0,-0.5386108415361153,-0.0,1.0,-0.2527381117426868,-0.9814224317205046,0.0
2019-09-13,-0.0,-0.5339308932968158,-0.0,1.0,-0.2524690845713337,-0.9801089993637092,0.0
2019-09-16,-0.0,-0.5387379418999972,-0.0,1.0,-0.24624782332292214,-0.979048619364825,0.0
2019-09-17,-0.0,-0.5321189673282105,-0.0,1.0,-0.25026259052462824,-0.9817292277074465,0.0
2019-09-18,-0.0,-0.5375259156876296,-0.0,1.0,-0.2447270214236351,-0.9820870767104353,0.0
2019-09-19,-0.0,-0.5271103492133713,-0.0,1.0,-0.2634445765476816,-0.9743965493405591,0.0
2019-09-20,-0.0,-0.5513114618169758,-0.0,1.0,-0.2587545949531522,-0.9538155385423288,0.0
2019-09-23,-0.0,-0.5518242925506902,-0.0,1.0,-0.2593842493983569,-0.9549943293408204,0.0
2019-09-24,-0.0,-0.5543324943994247,-0.0,1.0,-0.2603368642309926,-0.9510468235749647,0.0
2019-09-25,-0.0,-0.5493810102796507,-0.0,1.0,-0.2614955233779154,-0.9524704321874655,0.0
2019-09-26,-0.0,-0.5428643118012769,-0.0,1.0,-0.2904179096155454,-0.954640497365413,0.0
2019-09-27,-0.0,-0.5360550689761311,-0.0,1.0,-0.3044463721073397,-0.9577188907854605,0.0
2019-09-30,-0.0,-0.4777852386548039,-0.0,1.0,-0.33741816350512,-0.9826254826254827,0.0
2019-10-01,-0.0,-0.48550805729632945,-0.0,1.0,-0.3348254252461952,-0.9773388540734109,0.0
2019-10-02,-0.0,-0.5182129426951787,-0.0,1.0,-0.3400404108435764,-0.9480552281528878,0.0
2019-10-03,-0.0,-0.5390570414465777,-0.0,1.0,-0.3215393644671753,-0.934182946256393,0.0
2019-10-04,-0.0,-0.5461010779784403,-0.0,1.0,-0.3242335153296934,-0.9296094078118438,0.0
2019-10-07,-0.0,-0.5469540663703207,-0.0,1.0,-0.31681064609018983,-0.9319802063239118,0.0
2019-10-08,-0.0,-0.5556358582348854,-0.0,1.0,-0.29709520500347464,-0.9269770674079221,0.0
2019-10-09,-0.0,-0.5568750695294249,-0.0,1.0,-0.29575036155300927,-0.9285515630214707,0.0
2019-10-10,-0.0,-0.5686575924424943,-0.0,1.0,-0.2956482853070237,-0.9306296989854383,0.0
2019-10-11,-0.0,-0.5682687742620158,-0.0,1.0,-0.29432792470745944,-0.93015332197615,0.0
2019-10-14,-0.0,-0.554096064976894,-0.0,1.0,-0.3278252345609859,-0.9188068897913458,0.0
2019-10-15,-0.0,-0.5648008491145746,-0.0,1.0,-0.3391430646332607,-0.8891682028936931,0.0
2019-10-16,-0.0,-0.581081836997259,-0.0,1.0,-0.3347597471611568,-0.8810482743189573,0.0
2019-10-17,-0.0,-0.5942339832869081,-0.0,1.0,-0.3184122562674095,-0.8728969359331477,0.0
2019-10-18,-0.0,-0.6033366811739762,-0.0,1.0,-0.30855931257672137,-0.8779712085704721,0.0
2019-10-21,-0.0,-0.5781381045568913,-0.0,1.0,-0.3060944925915572,-0.9114341627061783,0.0
2019-10-22,-0.0,-0.5756541206100462,-0.0,1.0,-0.30717783685462435,-0.9155449839093326,0.0
2019-10-23,-0.0,-0.5764104283678431,-0.0,1.0,-0.2979853019252801,-0.9198871098443568,0.0
2019-10-24,-0.0,-0.5699809117448911,-0.0,1.0,-0.32798113631259823,-0.9091623624522793,0.0
2019-10-25,-0.0,-0.5703784754369722,-0.0,1.0,-0.3239065174087478,-0.91131498470948,0.0
2019-10-28,-0.0,-0.5736449332285939,-0.0,1.0,-0.3278812703400292,-0.9039950622825722,0.0
2019-10-29,-0.0,-0.5736217921631594,-0.0,1.0,-0.34336178483900953,-0.9000253528268402,0.0
2019-10-30,-0.0,-0.5720364056468201,-0.0,1.0,-0.3448110682183212,-0.9009552255628506,0.0
2019-10-31,-0.0,-0.5789355364469173,-0.0,1.0,-0.33839150227617604,-0.8927387174731635,0.0
2019-11-01,-0.0,-0.5872457734394779,-0.0,1.0,-0.3397001322118766,-0.886044614475794,0.0
2019-11-04,-0.0,-0.5884351831049203,-0.0,1.0,-0.33506515389800046,-0.8848573354302405,0.0
2019-11-05,-0.0,-0.6000621240787282,-0.0,1.0,-0.34747126761358826,-0.876288368678169,0.0
2019-11-06,-0.0,-0.5932627034396569,-0.0,1.0,-0.34819780157355074,-0.8988553412673617,0.0
2019-11-07,-0.0,-0.6115589871692971,-0.0,1.0,-0.3352730782332236,-0.8918190076075849,0.0
