Date,CAH,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-05-12,1.0,-0.2974377140158224,-0.13354587318455544,-0.19522966111701498,-0.440807651434644,-0.29448577163773765,0.0
2020-05-13,1.0,-0.29990279062048036,-0.14194940370344028,-0.19543827204400505,-0.4434170282381393,-0.2902766910875596,0.0
2020-05-14,1.0,-0.2982793859023718,-0.14777318313608062,-0.1880792813346642,-0.44467417652930274,-0.2977327819763297,0.0
2020-05-15,1.0,-0.31426941453326673,-0.15448429960303312,-0.19227935059069623,-0.44379471820105065,-0.27219567852813237,0.0
2020-05-18,1.0,-0.3183043488632839,-0.1676328156683127,-0.1990744054008922,-0.44252009828478733,-0.25802142226675256,0.0
2020-05-19,1.0,-0.31457824984450505,-0.17759915793502704,-0.19310080857375245,-0.44588775656667146,-0.2610640639203866,0.0
2020-05-20,1.0,-0.3145296283896887,-0.17234205366110286,-0.19405519154431106,-0.4477736859725477,-0.26261418527906644,0.0
2020-05-21,1.0,-0.31199675053162257,-0.17250854180106562,-0.19257878766157743,-0.44792487993692204,-0.26430602346307314,0.0
2020-05-22,1.0,-0.312382044482668,-0.17578059676533123,-0.19025777013306577,-0.4473589908980148,-0.2631931006474115,0.0
2020-05-26,1.0,-0.3124417799221344,-0.17758616571524113,-0.1922516540473404,-0.44603148064107767,-0.260204934674087,0.0
2020-05-27,1.0,-0.32935709495065635,-0.16997221423780778,-0.22108843537414963,-0.44756635048385546,-0.22734023186739483,0.0
2020-05-28,1.0,-0.3302218711854671,-0.1671333859888466,-0.22313970465043917,-0.4483616955075273,-0.22457576410330052,0.0
2020-05-29,1.0,-0.3365002632460633,-0.15761259752070073,-0.2274445986694108,-0.45823960178050066,-0.21334896855406116,0.0
2020-06-01,1.0,-0.33587767993874423,-0.15715926493108728,-0.22690945635528328,-0.4584848774885145,-0.21437117151607962,0.0
2020-06-02,1.0,-0.33599770257981143,-0.1556502177762887,-0.2250993155602355,-0.4591250658115158,-0.21724979658258747,0.0
2020-06-03,1.0,-0.3364689549523673,-0.1553688544209871,-0.2220546699219685,-0.4609603140408828,-0.21872755995978746,0.0
2020-06-04,1.0,-0.33755445971178244,-0.1532053430363384,-0.22444582754823575,-0.46234499928184997,-0.21628285536458083,0.0
2020-06-05,1.0,-0.3367803710353082,-0.15341711549970077,-0.22451226810293237,-0.4618551765409934,-0.21718731298623578,0.0
2020-06-08,1.0,-0.33785980682796213,-0.14932581046189156,-0.23312135411685952,-0.4579707373051545,-0.21246533422587743,0.0
2020-06-09,1.0,-0.3432464142901612,-0.15073150875176594,-0.2323108972056605,-0.45918636113306033,-0.20898881785312357,0.0
2020-06-10,1.0,-0.33838081318733976,-0.15283800944006518,-0.22550734360399644,-0.46126937729113254,-0.21798404293552484,0.0
2020-06-11,1.0,-0.3295209322399655,-0.16136766892053903,-0.20718841413705463,-0.46712703208171485,-0.23255646669543953,0.0
2020-06-12,1.0,-0.33030389771480373,-0.15400028624588524,-0.22017079337817852,-0.45527408043509376,-0.22560946519727113,0.0
2020-06-15,1.0,-0.3314886816306085,-0.15101495599074496,-0.22300407890656682,-0.4561219378384181,-0.22369582329508864,0.0
